states,solutions,paths,times,num_nodes_generated
<environments.cube2.Cube2State object at 0x7f730f182500>,"[4, 8, 8, 2, 5, 9, 5, 8]","[<environments.cube2.Cube2State object at 0x7f730f182500>, <environments.cube2.Cube2State object at 0x7f72ada81fa0>, <environments.cube2.Cube2State object at 0x7f72ada83140>, <environments.cube2.Cube2State object at 0x7f72ada83280>, <environments.cube2.Cube2State object at 0x7f72ada833c0>, <environments.cube2.Cube2State object at 0x7f72ada83500>, <environments.cube2.Cube2State object at 0x7f72ada83640>, <environments.cube2.Cube2State object at 0x7f72ada83780>, <environments.cube2.Cube2State object at 0x7f72ada838c0>]",30.161219835281372,571092
<environments.cube2.Cube2State object at 0x7f72fe79b320>,"[8, 6, 2, 5, 10, 8, 0, 4, 9, 0]","[<environments.cube2.Cube2State object at 0x7f72fe79b320>, <environments.cube2.Cube2State object at 0x7f72ada83a50>, <environments.cube2.Cube2State object at 0x7f72ada83b90>, <environments.cube2.Cube2State object at 0x7f72ada83cd0>, <environments.cube2.Cube2State object at 0x7f72ada83e10>, <environments.cube2.Cube2State object at 0x7f72ada83f50>, <environments.cube2.Cube2State object at 0x7f72ada070f0>, <environments.cube2.Cube2State object at 0x7f72ada07230>, <environments.cube2.Cube2State object at 0x7f72ada07370>, <environments.cube2.Cube2State object at 0x7f72ada074b0>, <environments.cube2.Cube2State object at 0x7f72ada075f0>]",22.34748387336731,811092
<environments.cube2.Cube2State object at 0x7f72fe79b370>,"[10, 8, 7, 0, 4, 9, 4, 11, 9, 3]","[<environments.cube2.Cube2State object at 0x7f72fe79b370>, <environments.cube2.Cube2State object at 0x7f72ada07780>, <environments.cube2.Cube2State object at 0x7f72ada078c0>, <environments.cube2.Cube2State object at 0x7f72ada07a00>, <environments.cube2.Cube2State object at 0x7f72ada07b40>, <environments.cube2.Cube2State object at 0x7f72ada07c80>, <environments.cube2.Cube2State object at 0x7f72ada07dc0>, <environments.cube2.Cube2State object at 0x7f72ada07f00>, <environments.cube2.Cube2State object at 0x7f72ada090a0>, <environments.cube2.Cube2State object at 0x7f72ada091e0>, <environments.cube2.Cube2State object at 0x7f72ada09320>]",23.25678849220276,811092
<environments.cube2.Cube2State object at 0x7f72fe79b3c0>,"[2, 5, 1, 8, 0, 11, 4, 3, 10, 7, 2, 0]","[<environments.cube2.Cube2State object at 0x7f72fe79b3c0>, <environments.cube2.Cube2State object at 0x7f72ada094b0>, <environments.cube2.Cube2State object at 0x7f72ada095f0>, <environments.cube2.Cube2State object at 0x7f72ada09730>, <environments.cube2.Cube2State object at 0x7f72ada09870>, <environments.cube2.Cube2State object at 0x7f72ada099b0>, <environments.cube2.Cube2State object at 0x7f72ada09af0>, <environments.cube2.Cube2State object at 0x7f72ada09c30>, <environments.cube2.Cube2State object at 0x7f72ada09d70>, <environments.cube2.Cube2State object at 0x7f72ada09eb0>, <environments.cube2.Cube2State object at 0x7f72ada0c050>, <environments.cube2.Cube2State object at 0x7f72ada0c190>, <environments.cube2.Cube2State object at 0x7f72ada0c2d0>]",30.014126300811768,1051092
<environments.cube2.Cube2State object at 0x7f72adb751e0>,"[11, 6, 10, 10, 1, 8, 1, 10, 0, 7, 2, 0]","[<environments.cube2.Cube2State object at 0x7f72adb751e0>, <environments.cube2.Cube2State object at 0x7f72ada0c460>, <environments.cube2.Cube2State object at 0x7f72ada0c5a0>, <environments.cube2.Cube2State object at 0x7f72ada0c6e0>, <environments.cube2.Cube2State object at 0x7f72ada0c820>, <environments.cube2.Cube2State object at 0x7f72ada0c960>, <environments.cube2.Cube2State object at 0x7f72ada0caa0>, <environments.cube2.Cube2State object at 0x7f72ada0cbe0>, <environments.cube2.Cube2State object at 0x7f72ada0cd20>, <environments.cube2.Cube2State object at 0x7f72ada0ce60>, <environments.cube2.Cube2State object at 0x7f72ada0cfa0>, <environments.cube2.Cube2State object at 0x7f72ada0e140>, <environments.cube2.Cube2State object at 0x7f72ada0e280>]",26.929531574249268,1051092
<environments.cube2.Cube2State object at 0x7f72adb75230>,"[3, 5, 2, 0, 6, 1, 5, 5]","[<environments.cube2.Cube2State object at 0x7f72adb75230>, <environments.cube2.Cube2State object at 0x7f72ada0e410>, <environments.cube2.Cube2State object at 0x7f72ada0e550>, <environments.cube2.Cube2State object at 0x7f72ada0e690>, <environments.cube2.Cube2State object at 0x7f72ada0e7d0>, <environments.cube2.Cube2State object at 0x7f72ada0e910>, <environments.cube2.Cube2State object at 0x7f72ada0ea50>, <environments.cube2.Cube2State object at 0x7f72ada0eb90>, <environments.cube2.Cube2State object at 0x7f72ada0ecd0>]",17.723525762557983,571092
<environments.cube2.Cube2State object at 0x7f72adb75280>,"[9, 5, 2, 10, 6, 9, 4, 2, 9, 7, 2, 0]","[<environments.cube2.Cube2State object at 0x7f72adb75280>, <environments.cube2.Cube2State object at 0x7f72ada0ee60>, <environments.cube2.Cube2State object at 0x7f72ada0efa0>, <environments.cube2.Cube2State object at 0x7f72ada12140>, <environments.cube2.Cube2State object at 0x7f72ada12280>, <environments.cube2.Cube2State object at 0x7f72ada123c0>, <environments.cube2.Cube2State object at 0x7f72ada12500>, <environments.cube2.Cube2State object at 0x7f72ada12640>, <environments.cube2.Cube2State object at 0x7f72ada12780>, <environments.cube2.Cube2State object at 0x7f72ada128c0>, <environments.cube2.Cube2State object at 0x7f72ada12a00>, <environments.cube2.Cube2State object at 0x7f72ada12b40>, <environments.cube2.Cube2State object at 0x7f72ada12c80>]",29.917663097381592,1051092
<environments.cube2.Cube2State object at 0x7f72adb752d0>,"[9, 5, 0, 11, 5, 9, 6, 0]","[<environments.cube2.Cube2State object at 0x7f72adb752d0>, <environments.cube2.Cube2State object at 0x7f72ada12e10>, <environments.cube2.Cube2State object at 0x7f72ada12f50>, <environments.cube2.Cube2State object at 0x7f72ada170f0>, <environments.cube2.Cube2State object at 0x7f72ada17230>, <environments.cube2.Cube2State object at 0x7f72ada17370>, <environments.cube2.Cube2State object at 0x7f72ada174b0>, <environments.cube2.Cube2State object at 0x7f72ada175f0>, <environments.cube2.Cube2State object at 0x7f72ada17730>]",18.2581627368927,571092
<environments.cube2.Cube2State object at 0x7f72adb75370>,"[11, 6, 2, 5, 11, 7, 8, 1, 7, 10, 2, 0]","[<environments.cube2.Cube2State object at 0x7f72adb75370>, <environments.cube2.Cube2State object at 0x7f72ada178c0>, <environments.cube2.Cube2State object at 0x7f72ada17a00>, <environments.cube2.Cube2State object at 0x7f72ada17b40>, <environments.cube2.Cube2State object at 0x7f72ada17c80>, <environments.cube2.Cube2State object at 0x7f72ada17dc0>, <environments.cube2.Cube2State object at 0x7f72ada17f00>, <environments.cube2.Cube2State object at 0x7f72ada190a0>, <environments.cube2.Cube2State object at 0x7f72ada191e0>, <environments.cube2.Cube2State object at 0x7f72ada19320>, <environments.cube2.Cube2State object at 0x7f72ada19460>, <environments.cube2.Cube2State object at 0x7f72ada195a0>, <environments.cube2.Cube2State object at 0x7f72ada196e0>]",29.73010802268982,1051092
<environments.cube2.Cube2State object at 0x7f72adb75410>,"[11, 5, 2, 5, 1, 1, 5, 2, 9, 3]","[<environments.cube2.Cube2State object at 0x7f72adb75410>, <environments.cube2.Cube2State object at 0x7f72ada19870>, <environments.cube2.Cube2State object at 0x7f72ada199b0>, <environments.cube2.Cube2State object at 0x7f72ada19af0>, <environments.cube2.Cube2State object at 0x7f72ada19c30>, <environments.cube2.Cube2State object at 0x7f72ada19d70>, <environments.cube2.Cube2State object at 0x7f72ada19eb0>, <environments.cube2.Cube2State object at 0x7f72ada1d050>, <environments.cube2.Cube2State object at 0x7f72ada1d190>, <environments.cube2.Cube2State object at 0x7f72ada1d2d0>, <environments.cube2.Cube2State object at 0x7f72ada1d410>]",21.999101638793945,811092
